2018 Jan 27 22:13:19  更新测试!
2018 Jan 21 12:14:05  于是我选的是第三条道路，放任不管，期间除了吃饭塞牙，偶尔有异物感，觉得在割舌头，并无太大不适，一直到今天，此牙第三次崩了一块。不过幸运的是，每次崩落的牙体不大，至今牙齿还留存五分之四左右。
2018 Jan 21 12:14:05  医生让拔牙，也不是全无理由，因为我有牙周炎，这颗牙除了牙髓已死，出现崩裂，还轻微晃动，他可能觉得没有保留价值。另一家牙齿诊所给了一种保守的治疗方案——根管治疗，然后戴牙套。我愿意保守治疗，可也心里有顾忌，因为这颗牙已经开始晃动，如果戴牙套之后没几天牙齿就脱落了，岂不是白费功夫？
2018 Jan 21 12:14:04  刚才吃饭，又咬崩了一小块牙。这颗牙是右数第六颗牙，第一次咬崩是在2017年6月份左右。此前是剧痛，牙龈肿，流脓，脸都肿了一大块，去医院看，证实是牙髓炎，挂水吃药才镇压下去，但接着很快就被咬碎一块。崩了一次之后，没几天又再次崩，分别… https://t.co/K6y2wsPvJL
2018 Jan 16 07:35:40  几个令人效率提升10倍的下载工具（https://t.co/I0Sz3zxUhP）
2018 Jan 01 14:43:58  @yueyu2017 不用了，账号在去年4月被拘留五天时封掉了，也不想再在新浪微博这种垃圾网站玩。
2018 Jan 01 12:46:01  @an_Meimei 元旦快乐！
2018 Jan 01 12:07:54  我的github账号（ https://t.co/6uql5mQAld），这几天整理了一份常用英语词汇表（https://t.co/HUhwhUi6dC），欢迎修正。
2017 Dec 31 16:09:24  Happy new year！
2017 Jul 14 04:17:10  內庫燒為錦繡灰，天街踏盡公卿骨。
2016 Nov 08 16:32:37  RT @VOAChinese: “六四天网”、卢昱宇和李婷玉获颁新闻自由奖 https://t.co/XKWpb0Lpi4 https://t.co/om4l9i60I3
2016 Sep 01 05:09:08  RT @amnestychinese: 卢昱宇及李婷玉已被关押近3个月，我们继续呼吁中国政府立即无条件释放两人，而不是因其和平行使 #言论自由 权而打压他们！ https://t.co/AOisOW4moW
2016 Jul 25 08:41:35  RT @amnestychinese: 非新闻创办人 #卢昱宇及女友 #李婷玉 均已被正式批捕。我们已发出紧急行动声明，呼吁中国政府立即释放两人，而不是因为他们和平行使 #言论自由 权而关押他们！中文声明：https://t.co/SMOL5tDuOd https://t.co…
2016 Jul 12 11:45:53  RT @wlh8964: 公告：盧昱宇哥哥盧小紅的銀行卡已被有關部門沒收。請有心人士關注後續消息。#盧昱宇
2016 Jul 06 12:01:58  RT @wlh8964: 葛永喜律師 @gyxlawyer 、黃思敏律師 @Simin_Huang 今天上午到雲南大理州看守所會見了#李婷玉。貴陽律師王宗躍、蕭雲陽會見了#盧昱宇 。他們的精神狀態都很好，對他們的遭遇也有心理準備。#英雄俠侶 https://t.co/izmuT…
2016 Jun 30 11:46:53  卢昱宇和女友李婷玉被“寻衅滋事”案，现已委托四位律师代理，总需律师费10万元。先期计划募集5万元，望各位义士鼎力相助！捐款方式——开户行：农业银行遵义县支行枫香营业所；开户名：卢小红；账号：6228481198562998675 https://t.co/k2T30J5SoP
2016 Jun 30 11:01:10  RT @iyouport_news: ＃人权 “非新闻”维权资讯平台创办人卢昱宇和女友李婷玉，被“寻衅滋事”案，现已委托四位律师代理，总需律师费10万元。先期计划募集5万元，望各位义士鼎力相助！
捐款方式——开户行：农业银行遵义县支行枫香营业所；开户名：卢小红；账号：62284…
2016 Jun 30 10:02:22  卢昱宇的父亲、哥哥（卢前西，也即卢小红），以及荒草丛生的老宅。 https://t.co/tK7Mtg92cs
2016 Jun 30 05:29:22  RT @wenyunchao: 吴强：追踪抗争的卢昱宇失踪了 | 端传媒 Initium Media https://t.co/38ByNWLhJm
2016 Jun 30 04:47:22  @BaGongWatch @remonwangxt 那是他自己说的，不是我的介绍。
2016 Jun 29 03:44:48  RT @VOAChinese: 保护记者委员会要求中国立即释放卢昱宇李婷玉: 新闻自由团体保护记者委员会星期二呼吁中国立即释放10天前被拘押的中国维权信息平台“非新闻”的创办人卢昱宇及其女友李婷玉。 https://t.co/s8bUk1s7XV
2016 Jun 28 01:19:05  RT @wenyunchao: Chinese Police Detain Activist Who Documents Labor Protests - 纽约时报中文网 国际纵览 https://t.co/47OpPPLZGI via @nytchinese
2016 Jun 27 09:25:31  RT @We_Chinese: #卢昱宇 @wickedonnaa 介绍自己如何搜索、整理、发布群体抗争事件，对城市、农村、罢工、疆藏事件各自特点的分析，中共各大网络控制的特点，以及他为什么要从事抗争统计等等。2013年写的，值得一读 #大写的人
https://t.co/ik…
2016 Jun 26 14:59:04  卢昱宇的家人已谈妥，愿意委托，找了两个贵阳律师，正在商谈细节问题。Jane（李婷玉）的家属谈得也可以，但表示还要继续想一想委托律师的事，李家在佛山是大家族，估计是想先试试家族的关系与渠道私下解决。
2016 Jun 26 14:00:35  @iread2011 @shisanyigongmin 是他。
2016 Jun 26 03:27:31  RT @wenyunchao: 卢昱宇及其女友李婷玉的合照，媒体可开放使用。 https://t.co/iKTDF7mzur
2016 Jun 26 02:39:00  跟老卢（卢昱宇）的哥哥已经联系上，正在沟通情况，可能因为已经搬家（不住在原户籍所在地），家属称没有收到卢的拘留通知书。
2016 Jun 25 14:48:30  @guchuan81 另一张是Jane在中山大学宿舍拍的。
2016 Jun 25 14:29:16  @guchuan81 你好，文中第一张图片中间的女孩并非李婷玉，而是卢昱宇的一个异性友人，这样发容易引起误解，我的twitter上有新找出来的Jane（李婷玉）的照片。
2016 Jun 25 14:17:34  一个和Jane比较熟的朋友说照片是在大学宿舍拍的，而这件T恤是小卢制作的。 https://t.co/gpEVFzcHcH
2016 Jun 25 14:02:02  Jane在大理洱海。 https://t.co/5Kb2uJMnUl
2016 Jun 25 12:09:09  RT @iyouport_news: ＃人权 已确认发放民间大型维权事件的网上平台“非新闻”创办人卢昱宇及其女友李婷玉以“寻衅滋事”的罪名被拘捕，关押在大理州看守所。大理作家许晖为其存入一千元，明日送衣物 https://t.co/6diSQp6uqs
2016 Jun 25 07:13:40  “王大姐（王荔蕻）那边送钱送物，到时候我们筹点给垫上。” https://t.co/jbRuHab3Q8
2016 Jun 25 07:03:27  网友去大理市看守所查到了卢昱宇和李婷玉的名字，管理方答应可以存钱物。遵义那边明天去人，昨天没找到。
2016 Jun 24 13:49:27  @wenyunchao 具体为翻译学院英语专业。
2016 Jun 24 03:52:10  RT @wenyunchao: 李婷玉是卢昱宇的女友，这个表述更准确，请媒体朋友及人权机构关注。合理推测卢昱宇也同时被抓并关押在同一个地方。 https://t.co/09jG1HtshR
2016 Jun 24 03:33:07  昨日网友去探访Jane（李婷玉）的父亲，今得到家人回电。已收到Jane的拘留通知书，6月16号下午4点被抓，因寻衅滋事罪，现关在大理市看守所，地址：云南省大理州大理市下关镇文献村。
2016 Jun 23 09:37:11  RT @amnestychinese: 继续关注 #卢昱宇 失踪事件 https://t.co/nmFEhRejWU
2016 Jun 23 09:06:10  卢昱宇的户籍找到了，贵州遵义县枫香镇***。去佛山的人也见到了Jane的父亲。
2016 Jun 21 09:14:13  RT @mozhixu: 图为怀疑被失踪的非新闻主持人卢昱宇 @wickedonnaa 和杨佳母亲王静梅的合影 https://t.co/U1O4m0jyJC
2016 Jun 21 04:49:23  @JiangsongWang 王老师你好，卢昱宇及其女友失联五六天了你知道吗？好像你和他以前有一些合作，有没有他的详细住址之类，好委托大理本地的朋友去打探一下？具体可私信谈。
2016 Jun 20 17:05:03  RT @wenyunchao: 搜集整理中国群体事件信息的“非新闻”及其女友同时失联，微博和推特相关账号 @wickedonnaa 已经有五天没有更新。请媒体及人权机构关注。
2014 Nov 24 11:24:38  羽夶蟲尛，轟，掱舙騳，歮淼，惢槑。叒，垚畾，竝劦飝皛羴，淼灥，姦馫，囍。龘飍！
2014 Oct 22 16:58:46  钦点带鱼。 http://t.co/MalgIvfTvh
2014 Aug 04 08:57:51  如果你认为郭美美是偶然撞枪，那就naive了，抓她赌博跟抓薛白头嫖妓一样，精兵强将早已埋伏很久，只待合适时机，抓太早“罪行”不够严重，不足以彻底搞臭，抓晚了也不行，必须在10月前，且有数个月的提前量。
2014 Aug 04 08:57:31  想明白为什么突然抓郭美美了，因为红十字会名誉会长五年一届，10月份即将换人（胡2009年10月担任第九届名誉会长），由包子继任，而郭美美这个影响重大的污点必须先洗清。在支那，懂政治很重要，美美脑子还是不够用，没有提前跑路。
2014 Mar 04 14:35:09  制造假想敌（美日）是统治策略，自我生产的敌人（藏维）却是找死的节奏。
2014 Mar 04 14:34:39  对恐怖的恐惧导致恐怖的自我实现。
2014 Feb 22 01:51:35  新注册账号@milovivo （http://t.co/Dvgm1o9tBi）
2014 Feb 22 01:19:19  微博@malavivo（http://t.co/o1FSTusgqb ）账号被禁言。
2014 Jan 15 14:46:08  RT @wenyunchao: 拜请大家大力支持。RT @wickedonnaa: 群体维权、抗争事件统计项目资金募集 【http://t.co/dEVStcCYiL】
2013 Sep 14 11:45:20  测试。
2013 Jun 29 07:03:42  RT @wenyunchao: Vole图文安装使用教程.doc http://t.co/9m8OZdFHIm #vole
2013 May 15 16:18:15  malavivo已亡，启用@milavivo （http://t.co/o1FSTusgqb）。
2013 May 09 03:49:51  在北京都出动直升机、装甲车维稳了，调查结论自然是自主高坠。上一回，还嘉奖共和国卫士呢。
2013 Mar 18 17:00:05  中国梦是拙劣的山寨货，此山寨货通过党国喉舌制造着巨大的语义混乱和污染，同时羞辱着“中国”与“梦”，建议改成习大大“窑洞梦遗”。
2013 Mar 18 16:55:29  美国梦是每一个人奋斗获得成功的故事，中国梦是五百家族发家致富世代相传的故事。美国梦是个人指向的，而中国梦则是集体指向，且此集体为五百家族所劫持与收割。
2013 Mar 18 16:54:58  华西村实际上是个社会主义奴隶庄园，给你看的只是奴隶主们的光鲜庄园生活。奴隶呢，当然是数量庞大的挣廉价工资给华西村打工的邻村逼、外地逼。
2013 Mar 03 09:40:30  前面的评论，也适合芙蓉姐姐和凤姐，以及像司马南、吴法天、染香、胡锡进这样的贱人。治疗的办法，只能是不关注、不转发、不评论，可由于人天性上的弱点，很难忍住。
2013 Mar 03 09:32:54  花样翻新的食物以刺激同样的巴甫洛夫反射，于是本来围观取乐的，都成了反操纵者手里的木偶，无穷无尽的免费测试材料，同时作为自带干粮的媒体场中继器和放大器，自己斩获的则是名誉（尽管在正常人眼里是臭名）、（隐藏的）利益和变态的渴望关注心态。我的这则评论，也是此一圈套的组成部件。
2013 Mar 03 09:32:11  人们以为自己戏耍了、羞辱了陈光标这只马猴，天天看他出洋相、闹笑话，围观、讥讽、谩骂，哈哈一笑，有着智力与审美上的俯视感和优越感，可实际上，自己的这种反应也是陈光标辈所导演操纵的猴戏的一部分，他仔细观察了此前的公众影响，完全预料到了会有什么评价和后果，每次要做的，只是给观众狗喂饲
2013 Mar 02 17:17:22  矛盾、怨恨和分裂是专制制度自我生产的疾病，想去局部地治疗是可笑的，甚至可耻的，我们能做的是看它的笑话，甚至煽风点火，让疾病更严重，促使体制本身的崩溃、解体和死亡。
2013 Mar 02 17:16:46  @mahavivo 有色人种则是白人的外地逼，而白人都是唐宁街、爱丽舍宫和白宫的外地逼。是财富、资源、权力及人性尺度决定了你的地域属性，在歧视层阶中的位置，幸亏有最后一点稍作补救，不然，中南海和白宫并置，会真正让人绝望。
2013 Mar 02 17:16:20  外地逼的金字塔：乡下人是县城小镇人的外地逼，县城小镇人是直辖市和省会的外地逼，一二线城市是香港的外地逼，香港澳门台湾是中南海的外地逼，中南海是自由世界的外地逼，自由世界的亚非拉是欧美的外地逼，苏格兰/威尔士、巴黎外省、美国中部是伦敦、巴黎和纽约的外地逼，
2013 Mar 02 17:15:58  北京上海户籍天天歧视外地逼，婴儿奶粉让他们知道自己也是外地逼，是蝗虫族和丧尸族。
2013 Mar 02 13:49:48  RT @dc_b: 唐荆陵:11年茉莉花大扫荡期间被关押的QQ好友渺小已经回到从化！今天下午18:26分，我收到了渺小的两份法律文书。一份是《解除监视居住决定书》，一份是《取保候审决定书》。
2013 Mar 02 11:40:22  央视、人民日报假装人民都被他们骗过了，可买什么样的婴儿奶粉表明群众很清醒。
2013 Mar 02 11:40:10  谎言治国，毒裁政治，被幸福，但不信任，互相怀疑、戒备、仇恨是骨子里的，所以即使作为世界工厂令全球生产过剩，也解决不了简单的婴儿奶粉问题，厂家没有价值观，唯利是图，国民没有安全感，唯恐上当。刁男儿假装的三个自信能维持到何时？
2013 Feb 26 16:48:38  @ZhouFengSuo 我不认识，2月20日当天我没看到有什么媒体在现场采访，但有当众演讲的，谈类似的内容，然后警察过来让大家散开，走动走动，不要聚集。
2013 Feb 26 16:41:52  @ZhouFengSuo 很有可能，就是最后和我在一起聊天的，也说不定有谁是便衣，彼此以前都不认识。但也无所谓，我又没啥见不得人的秘密。而且，以现在的技术条件布置设备在附近监听很容易。
2013 Feb 26 16:28:59  @ZhouFengSuo 就几十个人吧，中途来了些访民，但总数不超过一百。天气冷，下午4点多，基本没啥人了，我和几个哥们说坚持一会到5点，别让人笑话，结果4点半我就被抓走了。
2013 Feb 26 14:51:02  @破天旋风刀：获知一个特大喜讯：美丽的良心犯梁海怡出狱了！……目前海怡在家但还被监控中 。好友有她电话，但是不愿意给，说暂时不要去打搅，让她休养一阵再说 。因花事入狱的广东从化梁海怡（女，网名渺小，嫁一哈尔滨大学教师后离婚），11年2月20日被当局‘闪电’。
2013 Feb 26 07:43:55  RT @lin_lwy: 前几天在沈阳街头抗议朝鲜核爆的异议人士王丹（网名和平共处），昨天竟然猝逝，医生说是心肌梗死。网友们既悲痛，又感到可疑。因为王丹一向身体健康、阳光。
2013 Feb 26 07:43:36  RT @SCMP_News: Breaking: Hong Kong tourists among 19 dead in Egypt balloon fire, says official http://t.co/FXDWXXJllX
2013 Feb 26 07:14:17  @malivivo 也被删，再注册 @malavivo （http://t.co/ha6Dzvkq1v）
2013 Feb 23 06:54:15  中国几千年历史里，历来只有野蛮民族所建政权被中华文明驯化，即使作为所谓的东方专制国家，也是当时民众所知政治组织形式里最先进的，被窑洞土匪军事征服，以野蛮粗鄙残酷政党/种族/政体绑架华夏文明，堕落成全球最愚昧最可耻最残暴的政府，闻所未闻，所以红龙匪帮的丰功伟绩值得在历史上大书特书。
2013 Feb 23 04:47:52  molivivo已被删号，继续注册malivivo（http://t.co/6n7TzcfzaO）。
2013 Feb 10 03:52:53  继续注册账号@molivivo（http://t.co/w7zFfyku）。
2012 Nov 08 19:31:23  教义，组织，利益三重锁定，谎言，收买，暴力三种武器，没有底线，网格维稳，高科技和热兵器对付连菜刀都难买的屁民 ，虽然他们不过是麻木，自私，怯懦的13亿肉猪。63年的吸血虫不会改变，也不会死亡，除非宿主先枯萎，毒化和死亡，彻底失去了血源。
2012 Jul 28 08:15:07  一个启东，玩废两个微博账号，都让我休息。
2012 Jul 16 17:54:09  @mahavivo @crzeiss Michaelchen在微博上专门有个账号扒他的皮，见http://t.co/BQTsvcTr
2012 Jul 16 17:50:05  @crzeiss 这个sb是联合光子也即裴明宪的马甲，在微博上叫茶党。
2012 Jul 13 12:12:28  测试手机上推特。
2012 Jul 05 13:29:22  王政王大侠 微博语录 https://t.co/HFDj2rXY
2012 May 23 04:25:12  @paleylin 挪威超级杀手布雷维克
2012 Apr 28 18:49:54  @mozhixu 你新浪账号被灭了。
2012 Apr 10 23:03:50  文本化尼采汉译著述 http://t.co/XHiidNrr （孙周兴译《权力意志》除外，为自动OCR的双层PDF） 文本化《钱锺书文集》 http://t.co/F7jIyb5C
2012 Feb 19 04:47:40  艹，vivo100世又被封杀。
2012 Feb 08 04:48:05  @mozhixu 第二种猜测没谱，如果这样，重庆就不会发布信息说王接受休假式治疗。
2012 Feb 06 00:51:27  @haipai22 当然有原文，自己搜。
2012 Feb 05 22:37:51  茨威格：与魔鬼作斗争_荷尔德林、克莱斯特、尼采（文本PDF） http://t.co/Xy0QTe7j
2012 Feb 05 22:37:33  "钱锺书集 全套文本.rar" http://t.co/q5C2OqGH ——【尚需继续完善，有近一年没修正过，原来贴在豆瓣的文件不知为何被115删除】
2012 Feb 05 22:37:16  世界史（全六卷）.docx http://t.co/AzNpmFA3 【——观念陈腐，但资料丰富，且已全部文本化】
2012 Feb 05 22:37:04  全球通史：从史前史到21世纪__（上册）__（第7版）.pdf http://t.co/yurMcYrT 全球通史：从史前史到21世纪__（下册）__（第7版_OCRed）.pdf http://t.co/Oioyddkk
2012 Feb 05 22:36:37  民主新论 [美]萨托利著 冯克利 阎克文译 上海人民出版社（OCRed）.pdf http://t.co/EMyuUwrI ——我阅读标注过的版本。
2012 Jan 30 08:39:09  @mozhixu 韩寒本来没什么理由控诉方舟子诽谤、侵害名誉权之类，普通的网络掐架而已，过去不知发生过多少次，但此次韩寒如果能立案，且赢了官司，确实能一定程度取得杀鸡骇猴的效果，此后再遇到这种事（尤其是质疑攻击知名公共人物），网友心里就得掂量下。
2012 Jan 30 08:32:27  @mozhixu 你这抽空了具体情境，韩寒是名利场上的强势者，而且中国司法不公正，一个此类影响巨大的恶例会开坏头。
2012 Jan 30 07:44:40  @mozhixu 韩寒起诉，是他的权利，只是吃相难看，没有风度，对不起哭着喊着（跪着）要自由的青年精神领袖的形象，又因为他影响巨大，法庭没啥公信力，如果偏袒让他赢，无疑是仗势欺人，开了恶例，客观上也许会起到压制言论自由的效果。可这只是个案，中国又不是判例法国家，实际无足轻重。
2012 Jan 27 16:40:53  @mazhengfei @baozuitun 靠文字混了这么久，他都30岁了，也不至于这么差劲，可必须坦诚，不回避别人的尖锐质疑，比如杯中泡到底是布还是纸我就觉得很奇怪。
2012 Jan 27 16:36:14  @mazhengfei 因为轻视微博这种轻巧灵便的快媒体，在这里面集聚的一些反对他的能量/声音就得不到及时有效的排泄和反馈，他在博客上隔三岔五发长文，针对性又差，根本hold不住，反而是问题越积累越多，自己的公众形象越来越差，而且，微博本身就是反偶像的新平台/媒体。
2012 Jan 27 16:23:42  @mazhengfei 韩傻欠什么账呢？一是长期被利益方和媒体过度炒作吹捧，名不符实，占用了太多文化资源和政治资本，是个吹大了的美丽肥皂泡，误导公众特别是年轻人；二是韩三篇非常愚蠢下作，激怒了政治上的正常人和激进派；三，随着声名日隆，他趋于傲慢保守，如他轻视微博这种快媒体就是错误
2012 Jan 27 16:04:41  @mazhengfei @zhongdao123 萧瀚，傻逼也，不学无术，智商偏低，却又自以为是，我一上微博稍有了解就予以断定。社会交往乃至网络交流，一般首先假定善意原则，但如果发现有问题，就应该针锋相对，反击或者质疑，直到把是非对错摆平。韩傻此次受到围攻，只因为他欠账太多。
2012 Jan 21 06:23:28  严格一点，当说【自有二十四史以来最有资格说读过的现代人或许就是吕思勉】，清代的一些学者，比如写《二十二史考异》的钱大昕等肯定也读过，他不论《明史》，是因为由本朝所编，不得妄议。
2012 Jan 21 05:22:24  @mranti @xiaolai 自有二十四史以来最有资格说读过的人就是吕思勉，他是旧学出身，历史学家，而且著述累累，就这样，他第一遍不甚了了的阅读也花了八九年时间（15-23岁），读书狂人钱锺书，据我考证，也没读通二十四史，大部头的宋史明史引述极少，中文笔记目录里也未曾见涉猎。
2012 Jan 21 05:14:26  @mranti @xiaolai 阅读速度加快，每天读5卷或者10卷，对于一个古文功底不深厚的人来说，你也许就不知道书里在说啥了；最高可以达到什么速度呢，在《读古指南》这本书里（P479），作者讲到全祖望为了看极为难得的《永乐大典》，强迫自己每日读二十卷。
2012 Jan 21 05:13:53  @mranti @xiaolai 在《吕著史学与史籍》（http://t.co/W3uqc3Q2）中，吕思勉屡次提到、建议的旧史阅读速度是一日一卷，而二十四史共3259卷（据《辞海》，因为统计方法不一，有其他说法），那么按照这个速度要读3259 / 365 = 8.9年。
2012 Jan 21 05:12:56  @mranti @xiaolai 吕思勉：【人家说我正史读过遍数很多，其实不然，我于四史，《史记》、《汉书》、《三国志》读得最多，都曾读过四遍，《后汉书》、《新唐书》、《辽史》、《金史》、《元史》三遍，其余都只两遍而已。】
2012 Jan 18 07:47:46  @anjie_iceland 我那么损书海、叶隐、赵楚、苏振华这些2货，他们都颇为桀骜，一点就爆，却为啥长期没能有效反击我，是因为我极少有常识、事实、逻辑、伦理或者语义上的硬伤，也不会就自己不清楚的事乱说，抹黑攻击谁，他们最多也就能批评我说脏话，可我骂人，都有充分理由。
2012 Jan 18 07:33:15  @mahavivo @anjie_iceland 捏造稻草人予以攻击。
2012 Jan 18 07:29:10  @anjie_iceland 简单地说，就是匮乏智性上的正直，渣滓而已。
2012 Jan 18 07:26:06  @anjie_iceland 这你说错了，萧瀚这傻B的问题不在于政治观念，而在于智商低，没逻辑，以及知识上的错误，猥琐、捏在稻草人予以攻击，罗嗦，自我重复，还有傲慢。
2012 Jan 18 03:02:55  推一篇掐架文：Jacques Lebrun对《人月神话》书评的澄清 http://t.co/hPyNACLk 对比下就知道韩寒啊麦田啊路金波啊这些人是多么低级。
2012 Jan 18 02:56:09  @mozhixu 他这么浅的话我不会看不懂，不过觉得特别强调神马早期起家的网络名人（他自己当然属于这个阵营）太自恋了。
2012 Jan 18 02:45:03  @mozhixu 哈哈，我不是早期起家的网络名人啊。
2012 Jan 18 02:43:29  @cococyhair 这并不互相排斥，不过我建议你多喜欢中国古典和现当代西方名家，国内作者的书能不看就不要看了。
2012 Jan 18 02:40:35  @mozhixu 这话是对的，可在微博这种时代、环境、技术条件下会更对。
2012 Jan 18 02:39:01  论韩寒旧文回顾：【我何以要把韩寒和郭四娘扯在一起】http://t.co/Ni9MJCVe
2012 Jan 18 02:37:37  @mozhixu @hecaitou 这么自信啊，先灭了我。
2012 Jan 12 15:30:50  @mozhixu 到处都是耀武扬威的巨鲸帮喽罗和堂主。
2012 Jan 12 15:11:34  @mozhixu 呵呵，暂时好像没有。我觉得Tilly写书浮皮毛躁，什么都想挖坑占位，结果难成巨著/经典，做不到体大思精，林茨好很多，不过Tillly的议题对中国当下民间抗争政治更有参考价值。
2012 Jan 11 11:44:34  RT @flnikita: 1月10日 在捷克获得政治避难的季莫申科老公呼吁世界领导人救救季莫申科，“亚努克维奇就不想让她活下去。”http://t.co/0whkiN25
2012 Jan 11 09:15:09  时势异矣，10年前、甚至5年前这样的姿态/立场也许能摆平，能让很多人信服，可现在是分裂的世界，立场分化、极化，像在一个巨大磁场里的磁针，你可以指南，也可以指北，指东指西或者假想中立，都是错乱和荒唐，都要受到批评责难。
2012 Jan 11 09:05:36  南都的采访报道按理说属于韩寒的危机公关行为，可实际上不但没有扳回一局，反而成了韩寒（+南周系）傻逼、猥琐的再一次自证。
2012 Jan 11 08:05:19  @paleylin 呵呵，书海和叶隐、萧瀚一样都是些低智虫子，不值一驳的地方比比皆是，很多时候别人推到我面前我也假装没看见，哪有时间、精力、兴趣去一一驳斥，都是些巨鲸帮喽罗，胜之不武。
2012 Jan 11 07:53:17  @paleylin 再者，突破党国专政体系，颠覆其稳定性的扰乱因子早已出现，不然十年维稳在干什么，只是都及时被扑灭，能级量级不够，不成气候而已，如果真的存在所谓的ESS（进化稳定策略），那么有效对抗的方式就是抗争行动的普遍模仿策略，大连模仿厦门，海门模仿乌坎，钱明奇模仿杨佳。
2012 Jan 11 07:41:11  @paleylin 书海这个傻B智商低的另一个表现是把打破ESS的这种陈词滥调说了N次，不厌其烦，再也想不出来点新的，无限自我重复，而且ESS严格来说只适用大型生物群落，因为它们的智能、随机应变的灵活性不足，而人类群体行为是可以激变的，不依赖生物遗传和本能。
2012 Jan 11 07:26:22  @paleylin 书海纯粹傻逼，铁杆毛粉有几个，他们又做出了哪些成气候的大规模抗争，访民、拆迁户、退伍军人、知青、新塘织里民工、乌坎海门村民、番禺大连市民是毛粪？根本就不成气候，只是积聚在有限的几个网站抱团取暖放嘴炮而已。
2012 Jan 08 12:55:13  RT @aiww: 韩寒最近的文章至少证明了一个自然现象，从猿进化到人需要至少四百五十万年，而从人变回到猿可以迅速到生个女儿的瞬间。
2012 Jan 08 11:54:49  @tufuwugan 就这样吧，没什么好讨论，看不惯我的言论敬请拉黑。
2012 Jan 08 11:52:54  @tufuwugan 呵呵，我需要谁肯定呢，无论混学术界的什么大腕余英时、刘小枫、汪晖、甘阳、朱学勤、汪丁丁甚至秦晖，还是知名公知笑蜀、赵楚、张鸣、刘瑜等在我眼里基本都是傻X，我需要傻X们的加持与册封？就是推特上名望很高的莫总统，我也认为水平有限，又怎么样？
2012 Jan 08 11:46:38  @tufuwugan 当然不是我吹出来的，是我硬读出来的，如果你曾花15-20年时间读过一千种全世界古今以来第一流的著作，你也许会具有同样的敏锐判断，可惜你已经没了这个可能。
2012 Jan 08 11:35:50  @tufuwugan 我太公正了，只是你不学无术没有更敏锐的判断力而已。
2012 Jan 08 11:13:57  @paleylin 呵呵，凡是转发低智虫豸萧瀚言论的，不论是赞成还是批评的，我都认为智力太低或者品味太差，一律拉黑。
2012 Jan 06 07:47:39  96世又被封杀，启用 @ vivo九十七世 http://t.co/2DgqGvFH
2012 Jan 04 02:04:12  林茨《民主转型与巩固的问题：南欧、南美和后共产主义欧洲》 （清晰版双层PDF）下载地址 http://t.co/YG2XpAn9
